Outbreak	Coronahit_rapid
dataType	resequencing_consistency_check
source	Nabil-Fareed_Alikhan
pmid	doi://10.1101/2020.06.24.162156
Organism	SARS-CoV-2
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-rapid.dnd

SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969317	ERS5446195	Coronahit_rapid	-	LR963317	NORW-EFD88 	-	11f931cd29b014cddd4a0e64efc4da2d257b40f1a9b2ab35cef77b6ef662531a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ed39d51c0c5d7509f3daf375cf457bd3ffae69749d1d89b4fbd6cc80ca3f823d	NORW-EFD88_CoronaHiT-ONT	FALSE	
ERR4969434	ERS5446159	Coronahit_rapid	-	LR963351	NORW-EFD97 	-	1a55dcace44b36c5b5c17aae2474884230bbbb157bdc9b7796af8af99aeafa1f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	16473f16737037d55921e81ad82ed6249473e7070d14969458c7303379db30fe	NORW-EFD97_ARTIC_LoCost	FALSE	
ERR4969201	ERS5446159	Coronahit_rapid	-	LR963351	NORW-EFD97 	-	4d7c5fc27212f54cc90b044b7bbb73c297d7460ad30822f14eb074886ab7792e	20f58868184284814d0550f234978693f41e6545b357b1a6efe6d040f34fb93a	16473f16737037d55921e81ad82ed6249473e7070d14969458c7303379db30fe	NORW-EFD97_CoronaHiT-Illumina	FALSE	
ERR4969347	ERS5446159	Coronahit_rapid	-	LR963351	NORW-EFD97 	-	3f094b2a71f62d84d090100a1947b0b37cb6b4505eddca092347c6aa3e410ba1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	16473f16737037d55921e81ad82ed6249473e7070d14969458c7303379db30fe	NORW-EFD97_CoronaHiT-ONT	FALSE	
ERR4969399	ERS5446166	Coronahit_rapid	-	LR963340	NORW-EFDC4 	-	0b293431e4435004c220ba352ea939e7ebca18195eec7667951fe6d4ad3d88b4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d9697d3b8af85e090790af290a8cf8254ad81a3b2e9d1ce59a6198747e1c97f1	NORW-EFDC4_ARTIC_LoCost	FALSE	
ERR4969191	ERS5446166	Coronahit_rapid	-	LR963340	NORW-EFDC4 	-	4add8fc4faf7e6dc4d032cb0e08ba4130651817068b80fe12d0a4863eb1c509d	3e91c3fa89d25c0650ca20bc5ecfcb26c529eb995b435e6b21272a35ffb175fb	d9697d3b8af85e090790af290a8cf8254ad81a3b2e9d1ce59a6198747e1c97f1	NORW-EFDC4_CoronaHiT-Illumina	FALSE	
ERR4969339	ERS5446166	Coronahit_rapid	-	LR963340	NORW-EFDC4 	-	be30521f7456bcfb7b6a68e1910f7cb068a4b53d31f3f6ec600110791621706b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d9697d3b8af85e090790af290a8cf8254ad81a3b2e9d1ce59a6198747e1c97f1	NORW-EFDC4_CoronaHiT-ONT	FALSE	
ERR4969396	ERS5446161	Coronahit_rapid	-	LR963334	NORW-EFDD3 	-	b3d783107d01a374ad43f5defc7e79e52ce975bc383cf50ee1fc53315176edc5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	21cbfb59744a2aa5632ce5638df19d478ad284b2d636182877dbbd0afcf91c1c	NORW-EFDD3_ARTIC_LoCost	FALSE	
ERR4970008	ERS5446161	Coronahit_rapid	-	LR963334	NORW-EFDD3 	-	838856b1ae2438f73e879f3006dec8bb0c1f8f411f361a39e25b57401db8a3b9	b887c4fe732e5cd139fb8fffab86795689cc7a04674fb209226c201bb732ce9d	21cbfb59744a2aa5632ce5638df19d478ad284b2d636182877dbbd0afcf91c1c	NORW-EFDD3_CoronaHiT-Illumina	FALSE	
ERR4969336	ERS5446161	Coronahit_rapid	-	LR963334	NORW-EFDD3 	-	460bd09418d07facbb7b83033e6180589bbdfc95f6feeb485ee8b523ba144e79	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	21cbfb59744a2aa5632ce5638df19d478ad284b2d636182877dbbd0afcf91c1c	NORW-EFDD3_CoronaHiT-ONT	FALSE	
ERR4969436	ERS5446187	Coronahit_rapid	-	LR963326	NORW-EFDE2 	-	f1bf0abba1b1904c4367e47f7af0e0c488d0ca8098250a0655824a853cfa1a22	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bdab7897bb9e55aced774992929b0a220a0a50861cba16c626fceb5ab648b158	NORW-EFDE2_ARTIC_LoCost	FALSE	
ERR4970049	ERS5446187	Coronahit_rapid	-	LR963326	NORW-EFDE2 	-	dae0f6b4ca163bc3f8eec75bd6f4e3f18a3ecf5797d9c0db3e54b969c308e514	adb477626227ad4463ec5be6e1b28780b41aca12e837e65ad6ef1d65d9e7239b	bdab7897bb9e55aced774992929b0a220a0a50861cba16c626fceb5ab648b158	NORW-EFDE2_CoronaHiT-Illumina	FALSE	
