Outbreak	Coronahit_rapid
dataType	resequencing_consistency_check
source	Nabil-Fareed_Alikhan
pmid	doi://10.1101/2020.06.24.162156
Organism	SARS-CoV-2
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-rapid.dnd

SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969998	ERS5446153	Coronahit_rapid	-	LR963333	NORW-F0513 	-	56184f0ac4f49b0bc9fcd569d5073d2f7ed9104062c1929137e2fbee9441bc86	6156ac2df7654a16cc326e57b28d564804455fa84feeec3707ff57f054c99d43	f373c50a09b5d587e7dd1e29da05566b6211ee95b5249a1e15ae2f46a96a8b1b	NORW-F0513_CoronaHiT-Illumina	FALSE	
ERR4969335	ERS5446153	Coronahit_rapid	-	LR963333	NORW-F0513 	-	c575bf3d13d0145c6e7928f38a6c8f93551109f980a0041234faf5aa75be4ce8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f373c50a09b5d587e7dd1e29da05566b6211ee95b5249a1e15ae2f46a96a8b1b	NORW-F0513_CoronaHiT-ONT	FALSE	
ERR4969429	ERS5446186	Coronahit_rapid	-	LR963316	NORW-F05F5 	-	db5660b7bf4fd826e94d13354a7a9579c47ea911aff863d3b783183bac6b2215	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	664a2a0e52a82689477472391d781092f62654a71574d4f6792e2b6a155b947f	NORW-F05F5_ARTIC_LoCost	FALSE	
ERR4970056	ERS5446186	Coronahit_rapid	-	LR963316	NORW-F05F5 	-	9ede0e0dec6f6628701fbdb9d223a30b3825757fe92dbff7c0875e92e2246b07	9590703a6d5ebaf3a79ba1bd40c091a19c020175bd4fb16f6f7bfe744711011c	664a2a0e52a82689477472391d781092f62654a71574d4f6792e2b6a155b947f	NORW-F05F5_CoronaHiT-Illumina	FALSE	
ERR4969322	ERS5446186	Coronahit_rapid	-	LR963316	NORW-F05F5 	-	91abb0134bad6d1b616f3a42bfd950e3ee7df44ca8eb7dca1c029b8e32f9260a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	664a2a0e52a82689477472391d781092f62654a71574d4f6792e2b6a155b947f	NORW-F05F5_CoronaHiT-ONT	FALSE	
ERR4969376	ERS5446178	Coronahit_rapid	-	LR963320	NORW-F067A 	-	bd537218aa3842a636824b75f023be1121a883b678ed83c3c6826c340528fdee	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	de15ed0b0e6cbb75f5025b6452062ed4075afe16f12d1e5043bc98c0e943d82b	NORW-F067A_ARTIC_LoCost	FALSE	
ERR4970054	ERS5446178	Coronahit_rapid	-	LR963320	NORW-F067A 	-	474061396cf3b3a8fbff0d986f43e954efbca03cbf93e259fb4bf86da1ab75d0	e98c606d0d008f16a2e3db43f8af67727c22622811512b63d445cd5cdc92ebad	de15ed0b0e6cbb75f5025b6452062ed4075afe16f12d1e5043bc98c0e943d82b	NORW-F067A_CoronaHiT-Illumina	FALSE	
ERR4969323	ERS5446178	Coronahit_rapid	-	LR963320	NORW-F067A 	-	48321f25e4717fc7f808ac30892bda808c6ee083da42a0aa2e3e3991c766a7ff	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	de15ed0b0e6cbb75f5025b6452062ed4075afe16f12d1e5043bc98c0e943d82b	NORW-F067A_CoronaHiT-ONT	FALSE	
ERR4969392	ERS5446183	Coronahit_rapid	-	LR963341	NORW-F06C5 	-	34a48a7af12e0a6daee9c5e3628ea186cf5d8b1b6016f7b5d529d0d72602ed11	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a6f605d5194a2b8a89b9b07e544139ee4aa14ff0a584cfa08d0410d280766a59	NORW-F06C5_ARTIC_LoCost	FALSE	
ERR4970003	ERS5446183	Coronahit_rapid	-	LR963341	NORW-F06C5 	-	9dc793fe99bd6eaa6b984010de04507df5403bfeaed81f4c6ee95ad51c41abef	502072dd8718eb3c7e1f7d769f88e63bb1a6b0192f6ba07009cd437ad909d4a6	a6f605d5194a2b8a89b9b07e544139ee4aa14ff0a584cfa08d0410d280766a59	NORW-F06C5_CoronaHiT-Illumina	FALSE	
ERR4969341	ERS5446183	Coronahit_rapid	-	LR963341	NORW-F06C5 	-	f97669fd9820cbc87a671e3531857ac0df13d00e25df67884bbf3020fefa5720	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a6f605d5194a2b8a89b9b07e544139ee4aa14ff0a584cfa08d0410d280766a59	NORW-F06C5_CoronaHiT-ONT	FALSE	
ERR4969395	ERS5446190	Coronahit_rapid	-	LR963350	NORW-F06E3 	-	4a72b8dfba793557195eb8ec49437001055dbb40b4064f5a6b789f1b2dbea79a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	02797001790ca1fd03cb1bfde05a7bd4a47e2405c9c42a889d05475cec7b32a7	NORW-F06E3_ARTIC_LoCost	FALSE	
ERR4970057	ERS5446190	Coronahit_rapid	-	LR963350	NORW-F06E3 	-	3b1c1f349c1d080be106964a5c6d161df5210846f14325ace4dea892ac565e1f	881c4790f80ea1fb230f05dc2efb152f39fa897c5c2e640b00670eec61a56b6b	02797001790ca1fd03cb1bfde05a7bd4a47e2405c9c42a889d05475cec7b32a7	NORW-F06E3_CoronaHiT-Illumina	FALSE	
ERR4969346	ERS5446190	Coronahit_rapid	-	LR963350	NORW-F06E3 	-	c2715f6c485c20f15a8ebb8d8cc4c735c16c6c68edb5867a18ac0efbdd0bbb72	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	02797001790ca1fd03cb1bfde05a7bd4a47e2405c9c42a889d05475cec7b32a7	NORW-F06E3_CoronaHiT-ONT	FALSE	
ERR4969383	ERS5446189	Coronahit_rapid	-	LR963343	NORW-F072C 	-	5033f5d0962b255e69fe6101f609098dd7768050cfbf451a95ae5f52f6242896	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e6bb67df6503fe3513b61bda0295878e5ccd68dac4fda5d3ff346f24e60261c2	NORW-F072C_ARTIC_LoCost	FALSE	
ERR4970059	ERS5446189	Coronahit_rapid	-	LR963343	NORW-F072C 	-	577ef9386ffe84bff00871fe4bddc8e9ec8373fb75b1e053ddc74feb590a69d6	324d4c6e464612af840448e3d617ebb4486ffef9283620823d67d36fd76692e6	e6bb67df6503fe3513b61bda0295878e5ccd68dac4fda5d3ff346f24e60261c2	NORW-F072C_CoronaHiT-Illumina	FALSE	
ERR4969345	ERS5446189	Coronahit_rapid	-	LR963343	NORW-F072C 	-	fd340d9c6950448045b214fad042009547eb224385987f39f7465bd60fe701d5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e6bb67df6503fe3513b61bda0295878e5ccd68dac4fda5d3ff346f24e60261c2	NORW-F072C_CoronaHiT-ONT	FALSE	
ERR4969428	ERS5446174	Coronahit_rapid	-	LR963336	NORW-F0759 	-	8b09b6a927513d8acea1dbe488d7f51ecd657ad51dfd32858734eb3f9794a7e8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ffe6778c6d8ff8c193852169d3f7b784b9ed92c304cc5b26a67e6b50452831dd	NORW-F0759_ARTIC_LoCost	FALSE	
ERR4970044	ERS5446174	Coronahit_rapid	-	LR963336	NORW-F0759 	-	407c582beb3e424fe7c1862e49f49f74b6d7dd9ab1a15cdfeccd84082d5a2015	efac220da32e4f71eafa8f66ba1cad90300055e90072bc030b544a329dcc9e7a	ffe6778c6d8ff8c193852169d3f7b784b9ed92c304cc5b26a67e6b50452831dd	NORW-F0759_CoronaHiT-Illumina	FALSE	
ERR4969337	ERS5446174	Coronahit_rapid	-	LR963336	NORW-F0759 	-	72f34d36234b190c348f49d719ec56d0d18c904d288979447390b1e7dd20fa5e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ffe6778c6d8ff8c193852169d3f7b784b9ed92c304cc5b26a67e6b50452831dd	NORW-F0759_CoronaHiT-ONT	FALSE	
ERR4969426	ERS5446168	Coronahit_rapid	-	LR963312	NORW-F07FF 	-	69bc7eff03399f7a417c9e8205b0fca3249c039ca02c1e6291c70668cfa521e7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b712b5156b334f0a9c5f60f5a49f4f1ce79b27ba1f7106a74f8a54069e2ac9df	NORW-F07FF_ARTIC_LoCost	FALSE	
ERR4970050	ERS5446168	Coronahit_rapid	-	LR963312	NORW-F07FF 	-	da1287667014a8135b05796433be65bcdbb6437dff0452bbddb635038c31e8f8	0e540da23a09a33dcf566b9c04d3ba65de1782d70d1e658830909abeeb74024b	b712b5156b334f0a9c5f60f5a49f4f1ce79b27ba1f7106a74f8a54069e2ac9df	NORW-F07FF_CoronaHiT-Illumina	FALSE	
ERR4969314	ERS5446168	Coronahit_rapid	-	LR963312	NORW-F07FF 	-	611ea4b1ffa3d3edf28e4090204acd92b68e6681e1e51dbc311702e621a50db7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b712b5156b334f0a9c5f60f5a49f4f1ce79b27ba1f7106a74f8a54069e2ac9df	NORW-F07FF_CoronaHiT-ONT	FALSE	
ERR4969400	ERS5446184	Coronahit_rapid	-	LR963322	NORW-F08DE 	-	718d0d205750cd8e739372f37bbad8f6fe2d2b79bdc30bdc16dfde112c49a59f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	4bc1e48a7c93e4f0197fe8aad07446677e566085622604123bbf8cd437034c95	NORW-F08DE_ARTIC_LoCost	FALSE	
ERR4970052	ERS5446184	Coronahit_rapid	-	LR963322	NORW-F08DE 	-	7aab44eca18c049303b48accdaf421181056717fc005fd4b98d360d44cdd6135	c61638c9ccede957b86f65d1b15286cc70056c3a17980782125599daad74ef21	4bc1e48a7c93e4f0197fe8aad07446677e566085622604123bbf8cd437034c95	NORW-F08DE_CoronaHiT-Illumina	FALSE	
ERR4969320	ERS5446184	Coronahit_rapid	-	LR963322	NORW-F08DE 	-	108278a4379400c6aa20724943007287954120ebe1871fd965c6b7a3ced52978	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	4bc1e48a7c93e4f0197fe8aad07446677e566085622604123bbf8cd437034c95	NORW-F08DE_CoronaHiT-ONT	FALSE	
ERR4969431	ERS5446152	Coronahit_rapid	-	LR963315	NORW-F0917 	-	0a5ac2252e3b95fde8539f3be29f7e54b833bcfdb15c2b9afaf8ad8f0af0cb89	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d61becb0db8a11b0ba83d1b77755282de25f37b435b9f5c6d5845f5d79f0d640	NORW-F0917_ARTIC_LoCost	FALSE	
ERR4970005	ERS5446152	Coronahit_rapid	-	LR963315	NORW-F0917 	-	f89cd4fa8646b66313caa7d6456b691eb74bbe273889e5fbf1198b3201f1edb5	70ec1d0e1a834b90b77c8bc67e949eb819d0a5e04a82d310c6d620a614fb03dc	d61becb0db8a11b0ba83d1b77755282de25f37b435b9f5c6d5845f5d79f0d640	NORW-F0917_CoronaHiT-Illumina	FALSE	
ERR4969319	ERS5446152	Coronahit_rapid	-	LR963315	NORW-F0917 	-	2a640c68cae0ee97135de3457e35fae36fe3c24b442d1024a42ed9086437ed6a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d61becb0db8a11b0ba83d1b77755282de25f37b435b9f5c6d5845f5d79f0d640	NORW-F0917_CoronaHiT-ONT	FALSE	
ERR4969438	ERS5446181	Coronahit_rapid	-	LR963319	NORW-F0962 	-	531e68dde5d8ff4054a3ef36e0c61b98926c34527a4ce2fe31daa78ab0a198c8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b500b7a2c89175eb0316f6c6075089428cf90bd0763990da2c2ec521b5bcc056	NORW-F0962_ARTIC_LoCost	FALSE	
ERR4970000	ERS5446181	Coronahit_rapid	-	LR963319	NORW-F0962 	-	36fa780f007b729e96c85d68b66eeca73eeaf754719883a3914434a868224dac	bf78d793f3c1396129543f6d5551e164ef5a038052c9e46ed2f699dc824aae06	b500b7a2c89175eb0316f6c6075089428cf90bd0763990da2c2ec521b5bcc056	NORW-F0962_CoronaHiT-Illumina	FALSE	
ERR4969318	ERS5446181	Coronahit_rapid	-	LR963319	NORW-F0962 	-	1aaa08ffe61367785ce974150c42e42b3c3b53d493623211eff4dfbffc5aaa70	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b500b7a2c89175eb0316f6c6075089428cf90bd0763990da2c2ec521b5bcc056	NORW-F0962_CoronaHiT-ONT	FALSE	
ERR4969398	ERS5446151	Coronahit_rapid	-	LR963349	NORW-F099F 	-	455d9d0a6e4c16ed9700ef531755b4e9089e968044d4e53a1c2313e6cb37c61f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	81ab8f9261bd616bd6e75ca8cba5df054b9e68593b78b4a4699c7dc8fd129665	NORW-F099F_ARTIC_LoCost	FALSE	
ERR4969996	ERS5446151	Coronahit_rapid	-	LR963349	NORW-F099F 	-	53587fb3338cee1a8b671343cbc7c28e9b249e779d6371aec2b02f61629ee67c	08216c0a5e23db1884fdd9a4901df130e9f9bd442979a7ad8c8bb5754833328c	81ab8f9261bd616bd6e75ca8cba5df054b9e68593b78b4a4699c7dc8fd129665	NORW-F099F_CoronaHiT-Illumina	FALSE	
ERR4969348	ERS5446151	Coronahit_rapid	-	LR963349	NORW-F099F 	-	d1940c7cb681a731582baa9113896b4f4d557422a6f2e86859dc4b34736d908b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	81ab8f9261bd616bd6e75ca8cba5df054b9e68593b78b4a4699c7dc8fd129665	NORW-F099F_CoronaHiT-ONT	FALSE	
ERR4969391	ERS5446156	Coronahit_rapid	-	LR963344	NORW-F09DB 	-	796329f8218a153c4a759eb7716576d1035b32be136e63f2106a2bb0067a7274	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a39ee24149f9bb444e2a8fc6ae82fda3972df7fe617c897d9adb3c2428a24004	NORW-F09DB_ARTIC_LoCost	FALSE	
ERR4969199	ERS5446156	Coronahit_rapid	-	LR963344	NORW-F09DB 	-	ad8204df3a4513ab21a82e2672772f012ff16c82ea80f4d2403985445ad411e9	65e4fca268e98f8c9546bd76c80c8d84460762279d16be8053292b8d1f81cf73	a39ee24149f9bb444e2a8fc6ae82fda3972df7fe617c897d9adb3c2428a24004	NORW-F09DB_CoronaHiT-Illumina	FALSE	
ERR4969349	ERS5446156	Coronahit_rapid	-	LR963344	NORW-F09DB 	-	eb0cf4db5ab7c11d3098dcb107940ba175bf28b83a2bf2ce93a18117e0bec20a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a39ee24149f9bb444e2a8fc6ae82fda3972df7fe617c897d9adb3c2428a24004	NORW-F09DB_CoronaHiT-ONT	FALSE	
ERR4969435	ERS5446188	Coronahit_rapid	-	LR963314	NORW-F09F9 	-	1f6683ee0cb585627a049f61fd99c4ad69a99c27f73980506eb18ee2b0d2ff49	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e60a7c0f72e7a44d53a85d6c96c69fe77cae24285f90b70764e3bbcb4b2d18e8	NORW-F09F9_ARTIC_LoCost	FALSE	
ERR4970045	ERS5446188	Coronahit_rapid	-	LR963314	NORW-F09F9 	-	07b61468ef54e6a4923f499830f0c7db18429bf3b19c1252608e7b2ce16d3bd4	c20fbc45723e8fb9a0ff68818740fe3303d54b56d724d901cd87e21af133bc8e	e60a7c0f72e7a44d53a85d6c96c69fe77cae24285f90b70764e3bbcb4b2d18e8	NORW-F09F9_CoronaHiT-Illumina	FALSE	
ERR4969316	ERS5446188	Coronahit_rapid	-	LR963314	NORW-F09F9 	-	969bf3cb9dd60daabe43d2fa2d186cb254935e8dc89a4df526c449b4481fe3d3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e60a7c0f72e7a44d53a85d6c96c69fe77cae24285f90b70764e3bbcb4b2d18e8	NORW-F09F9_CoronaHiT-ONT	FALSE	
ERR4969430	ERS5446171	Coronahit_rapid	-	LR963324	NORW-F0A23 	-	be7189d042172f6f8ae10c0deb8a8533c636e1d21380708613c4602bf89de8aa	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	da4774e02d53ae4ba7b55a77c516f37e3927b7c7eacf7d3d0653b088e3b606ed	NORW-F0A23_ARTIC_LoCost	FALSE	
ERR4970048	ERS5446171	Coronahit_rapid	-	LR963324	NORW-F0A23 	-	23660f87ef34ce167abc2ed7599f30e2001bf8a1a3656b4cadb925ed11a8e86b	68e3ff6a905337216db3b9b2a7785698ea8a79e74342774e4962dd38a4803d71	da4774e02d53ae4ba7b55a77c516f37e3927b7c7eacf7d3d0653b088e3b606ed	NORW-F0A23_CoronaHiT-Illumina	FALSE	
ERR4969332	ERS5446171	Coronahit_rapid	-	LR963324	NORW-F0A23 	-	e7827cd1ec06ce9c65141774c66400d7c301c10d37502e5d50862091fa57415c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	da4774e02d53ae4ba7b55a77c516f37e3927b7c7eacf7d3d0653b088e3b606ed	NORW-F0A23_CoronaHiT-ONT	FALSE	
ERR4969384	ERS5446194	Coronahit_rapid	-	LR963342	NORW-F0A32 	-	32e4d5faf8d8dd9d6815ab4d10db658875cdaefc4951d907a29077ea582c73b1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	48c40f6dd4d1d8b4ff57c83ef067704750b5759b4c8b96305a3248f3d00f812d	NORW-F0A32_ARTIC_LoCost	FALSE	
ERR4970062	ERS5446194	Coronahit_rapid	-	LR963342	NORW-F0A32 	-	caec2307fac93a8d1e6d25b25c3b0828185abe45db0c6b33b8327fec967272c2	eab4aeb0dfb3cc09a4d24b8ff985472aee7330fcd870e308d88cf3a67675295d	48c40f6dd4d1d8b4ff57c83ef067704750b5759b4c8b96305a3248f3d00f812d	NORW-F0A32_CoronaHiT-Illumina	FALSE	
ERR4969342	ERS5446194	Coronahit_rapid	-	LR963342	NORW-F0A32 	-	ced0d15b5e7353a908dcd403e2c80a8d64a1184f90b3e23f4e4106b2e305a67f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	48c40f6dd4d1d8b4ff57c83ef067704750b5759b4c8b96305a3248f3d00f812d	NORW-F0A32_CoronaHiT-ONT	FALSE	
ERR4969427	ERS5446172	Coronahit_rapid	-	LR963306	NORW-F0A50 	-	6e24a91d3a7871cf7121fd2a1b9fb517fe22ab92289a49e035acfa2acc494057	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	27b2a52d0e6968bc32b253858231c15bedc14927a90014e889756ad146159932	NORW-F0A50_ARTIC_LoCost	FALSE	
ERR4970004	ERS5446172	Coronahit_rapid	-	LR963306	NORW-F0A50 	-	d956eb311116b82824234cb829b31f0176fbf3fa1db9d0be574929070bf385a3	322d112cfc68cfc83dfd10324139a5ad7cd3467279e93e6e779f4024cbd00ae5	27b2a52d0e6968bc32b253858231c15bedc14927a90014e889756ad146159932	NORW-F0A50_CoronaHiT-Illumina	FALSE	
ERR4969313	ERS5446172	Coronahit_rapid	-	LR963306	NORW-F0A50 	-	6812f4f7d799b6e4b19918d35d23a7df19beb5800386396abb916b79efeab32c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	27b2a52d0e6968bc32b253858231c15bedc14927a90014e889756ad146159932	NORW-F0A50_CoronaHiT-ONT	FALSE	
ERR4969397	ERS5446177	Coronahit_rapid	-	LR963352	NORW-F0A6F 	-	1792913bad79dcacfdc931a41946c68f96528ba809b92c6a9873de92dc1ee673	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	50e11339b090ee7f4c689c4fe7eb91a9e4a99e0849a6b10066badd87bd08f02c	NORW-F0A6F_ARTIC_LoCost	FALSE	
ERR4970001	ERS5446177	Coronahit_rapid	-	LR963352	NORW-F0A6F 	-	56fd9e92181b1622007da83b353480cdde991c605b29278e42ab6161cd87199a	85375c13f449b4228d8bb94ec00284933b256016f297869bc7d0e7b6e6f9a0ab	50e11339b090ee7f4c689c4fe7eb91a9e4a99e0849a6b10066badd87bd08f02c	NORW-F0A6F_CoronaHiT-Illumina	FALSE	
ERR4969353	ERS5446177	Coronahit_rapid	-	LR963352	NORW-F0A6F 	-	3429ecf5880917e03bf2c4627297bc538b46b6fd3bdf590b9993ce076c78ff13	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	50e11339b090ee7f4c689c4fe7eb91a9e4a99e0849a6b10066badd87bd08f02c	NORW-F0A6F_CoronaHiT-ONT	FALSE	
