Organism	SARS-CoV-2											
Outbreak	SNF A											
pmid	33303686											
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sarscov2-SNF-A.dnd
source	Danny Park											
dataType	Outbreak											
												
biosample_acc	strain	genBankAssembly	nucleotide	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumnucleotide	sha256sumRead1	sha256sumRead2	
-	Wuhan-1		NC_045512.2	NA	NA	SNF A	TRUE		-	-	-	
SAMN14938803	MA_MGH_00228		MT520202.1	SRR11953697	IntroductionB	SNF A	FALSE		249e1a375d2c7518595f9f000ded680a79f459d91839c22f2d80227f90cddadf	34e01a841e066603374f9b392a2264a9289997d0fd0a04f21662a0e91e10f7ef	59658a9fb672db291716c695e54dcb8d7f129a9546fb9a88b3bb8f769b9517f1	
SAMN14938804	MA_MGH_00229		MT520263.1	SRR11953924	IntroductionB	SNF A	FALSE		49e44ea04433c41fdce1ff11826548e161080af3db2e9d134b1f8fc5dde168b3	e401557e5ef806b33e493569c0b74c03a87012ea7c93c925d66fa8b2c73fd191	491d92a896606a3b48f5d1ebe94cbd4a11788110ac6b9a1653f76e755a979ef3	
SAMN14938805	MA_MGH_00230		MT520374.1	SRR11953711	IntroductionA	SNF A	FALSE		f8175ad7f1b8acf382b6d338176d2c20abfb4d78f5f2f0bd532fd972b85e70aa	5497662cbe067813889e0355d4f010ccc8c85fa2c54845983241ed37d14026a6	225be691451ebde2f8fe8ce3b7c143a3452ce65370499b76fb844b919df65ccc	
SAMN14938806	MA_MGH_00231		MT520420.1	SRR11954075	IntroductionA	SNF A	FALSE		8fc011a32fef02333685f691b717ce47449ac85aced3bba144becddcd271c782	88caecad3232bcdf155ca32b67c25b9f8ac417232e712bf9f9db83ae7f2ea802	d824e2f8b8c31759011eed62a21a8aa158a5eb50433dde59f30b0e9fdda35922	
SAMN14938807	MA_MGH_00232		MT520445.1	SRR11953731	IntroductionA	SNF A	FALSE		21a0f26f8de35fc7032490c0c3068987cbd5c970ca04e479ec09aa3f90a54939	01adfef80a04574b613cdc1f45355b3c22db9386ec8875a8c654883df400dc13	6a19d72cb67e8895a187b758d7f684509760b297a9261eb561aa2b88aebb4a76	
SAMN14938808	MA_MGH_00233		MT520525.1	SRR11953754	IntroductionA	SNF A	FALSE		7fb5c3936c9e03e06a3dcfd84c4f3f45ea68840890e4f002e72ecdbfcf52a68c	11ca495a775f0df853d3de0499aaa63ddef907e665bac007c98f8c375ee96611	ab180ebcc0950c52453817b7e6c63b4619af2fccb63b6e9522802892f01bf1cd	
SAMN14938809	MA_MGH_00234		MT520464.1	SRR11954109	IntroductionA	SNF A	FALSE		de5d444d44af634f3fe542303eebd9ef16091a8d5d6bf3da9b44fa5485cf4c37	90e0cabbe634074ad32d4dcfd6669f5c52e8c4d18f286478f40bd2b35dee54ec	d08defaa395c9a884ed52d14c8c7697d0aff53c8d1396de9b32a1166cd766941	
SAMN14938811	MA_MGH_00236		MT520334.1	SRR11953719	IntroductionA	SNF A	FALSE		05b283a01ee0b432e520280cb6900d71c9280b17f9084ad147062e3779f6419b	5fa29f0ac855ca31fc57ce8779044d8de6562e1890c23f9b13b629237994b5b0	4ecce84f2fc120ba0330b1a3a551b13a432bcf593a6c0c0abac53931005caaa1	
SAMN14938813	MA_MGH_00238		MT520440.1	SRR11954088	IntroductionB	SNF A	FALSE		8c8f5b62f60ef4ab144c44eae77903d717f19fbd3f6bd707ecbcea3900e87d67	bc1f31abe8bee7106eaa5f248625f5c0fc2a6289e354efb6389094dd2bb34bfc	b2fff1989c03259d7e8cec2e18ad24d16081b24ce1a5c7983e21e9b0a98b1187	
SAMN14938814	MA_MGH_00239		MT520312.1	SRR11953740	IntroductionA	SNF A	FALSE		338afe749598ed52e8c5dc0d508a089607c84d70082b52a4da85276b42a5bda4	56d1746cb8aa34fa586043540cf2032573fba436538f7949f165e33573e2adae	61cf4e52bd15d5c4c6f72678c39d116cbaa165260d1720dadf9d33bab27af944	
SAMN14938815	MA_MGH_00240		MT520480.1	SRR11953680	IntroductionA	SNF A	FALSE		8caecd2b7c7bbb77fcb0287df17271a20fd497ef3ee3bb7f4a04df89ab04f40b	6b48bb5d611481be5f5235052ac0f0434663eac959e018bf7150e249e4735887	662ddc1bf4b9cfa99647276103d48779df4a32f34ed527ef350b27dd75beea31	
SAMN14938817	MA_MGH_00242		MT520222.1	SRR11954202	IntroductionA	SNF A	FALSE		4696029498d0bf33beb562cd9e1ee01c23a43d27202205229d1e63b3fc3c890e	f8fd09fbe15289859398715eb5f0c7b48bcbee795ee7f4d4114d862700fbc5e3	96fcde131e1a42328b84159d02405b831656b1aeabceb96b1db5d3460d364cb4	
SAMN14938818	MA_MGH_00243		MT520421.1	SRR11953808	IntroductionA	SNF A	FALSE		1115974f8cc3297c908249af3c8ba356e684c8acafa201899fa58b6658c4e49b	7553d28996a0fc6d7e8cf1f82ab973d11bee4d36f0735ae5d439595c903c78e4	c0b33928e61d68bc34f96cadd21364e0d2f36da810e7ea1f0743a8aad909428a	
SAMN14938819	MA_MGH_00244		MT520482.1	SRR11953975	IntroductionA	SNF A	FALSE		a307185f77d816e850805ee3f84b1acd04484dcc5b32f7d1977b98b84da55e3b	f83bd6fcd5d6c3d01e54a22a6186df72a306f314a43a486df5f1921d42a609d0	9bd64c01c9d69962ba4765d7bbddb07941348947895baeab2643995ed328f929	
SAMN14938820	MA_MGH_00245		MT520510.1	SRR11954031	IntroductionA	SNF A	FALSE		f9d3b106d485ae67bc0abbf69d4dc3801a19bcb0158b3b588c142d59416ae3b3	66077137d1972b23bf03db09425102e5812bfc6e8ef31523025461461f8d4697	88a40d039d7f49ede5bc51dd85f7c09525becc682e485347121a1441bf7c5019	
SAMN14938822	MA_MGH_00247		MT520288.1	SRR11954235	IntroductionA	SNF A	FALSE		7c8d1f92a68346d61cd4d0a2df9e8723f8bc2661afeea776dc0db140cc41ad4a	ab38d013f972a50771d55ddbe17ac58b9a626aa4a7a9d2210d1a192811e70b1b	f505cfbe8b2564c95f5c8e2e6f9798c987f88c09c3fcc5a963ae6aa59c01a605	
SAMN14938823	MA_MGH_00248		MT520380.1	SRR11953726	IntroductionA	SNF A	FALSE		741dc08a55281e7426be19a97e5e252cbb9527b00673fb7433c4ad47a859cefe	2dfe4e2fdc9673b21b42649649adb8a270ece185eab176c662bae978643294c3	1383667bb46b36977f5769583e4857f0c1388754d2d4a03f475bab1f99565aea	
SAMN14938825	MA_MGH_00250		MT520530.1	SRR11954102	IntroductionB	SNF A	FALSE		80a086dc98ce282637fc4bfb31df3fcc3e3abe31e8dca7dbe89d440af1f1b206	a15beeed4673323e87b0c5a91d95db4c52d5dd7773c43cdc7abd76d798f77d67	361d76eb5d77cae4ed04082b5b10fe0f1b1a6ce994f843c77477ae7b49d20aa5	
SAMN14938826	MA_MGH_00251		MT520448.1	SRR11953946	IntroductionA	SNF A	FALSE		744e0235f533081f5ca8c8599383c97311799822298595388e40e0cd1e89564d	733d157cc55f0945c07ab5ff0ffd74d254c77a89c44e476e656fddb6e364cbab	0896d856d05f898c9309f28a7b9b6d46deb5c9eace1da11c53ba8b6c1be4fe97	
SAMN14938827	MA_MGH_00252		MT520504.1	SRR11954192	IntroductionA	SNF A	FALSE		a50996afc8205f22f0c99ef9171b17f1dc90677eefb434dabd9dfcb280f4d4d2	d0cbc464f663283ebfeee6301387213a7a2dc050c5d954a4188bdb517facc0ac	e5dc0f27e2ad6f8b86372a853374383a79a7488dfd646bd0f679ece8495a2e03	
SAMN14938829	MA_MGH_00254		MT520248.1	SRR11953789	IntroductionA	SNF A	FALSE		0b769a8c1b80daf49ded3a9eb928f978115519969ef7884d203bd1995b0a2112	b157461e3b7ef29fef2bf317fff6365b140d0390c532a63a9e6ec4b62d464434	79889a0bf2493fcc135ff004adeb2fed7a7b4faaeeb29dc443a8d6c8fb647f06	
SAMN14938830	MA_MGH_00255		MT520514.1	SRR11954254	IntroductionA	SNF A	FALSE		4563ff4460f92f5a1e7e79b37f23210d4aca6e2e43e74d3253f95344ae000d24	95321bc6078bd0498a99dfa77da47e2f4891e7a1c48ab6bdb777be3ac04579c7	18e01ae7081735557e916e7c864c8878ba74908bbf7be76cb9fc8a3b25b7c6b5	
SAMN14938831	MA_MGH_00256		MT520453.1	SRR11954100	IntroductionA	SNF A	FALSE		61d03a16b403d64bddd25a24c033e9f9af7041b6d0380127081820c7f2a17dca	a6df37fe75905f8b4e70f83340dc437629542a1e85909d242953c541d23c80da	03ce3ff540b6e93e1a164399709aa18a0478d8e0423be9922842970c7e6167ff	
SAMN14938832	MA_MGH_00257		MT520479.1	SRR11954086	IntroductionC	SNF A	FALSE		b508d3d67fbbda4bb497eba39907cf0205091eb1003609714a9126bb5d4970be	c534bf4c67364d174f0ed5e4689de91bfd3ce9af2055f03f546686fe76c71474	89738836b51853070e84a9ce40c77511398dd750e13265befe16ed819c087653	
SAMN14938833	MA_MGH_00258		MT520196.1	SRR11954187	IntroductionA	SNF A	FALSE		6c208f457c5ddf913cb5b66f1716673e541023697043e9ed4e9d28ea34433492	753e5260467cf3f4aae3a427f452805488adadaf87af60be729f96b9bea09030	7f5a77849db007409dd93742db32be274f9a2448dcd9a0f15fcab942a66001c4	
SAMN14938836	MA_MGH_00261		MT520435.1	SRR11954161	IntroductionA	SNF A	FALSE		2124911a3c62376db263fa74e86db4e1429b140b151da95e8e9e61ce25bee721	16c6840dce3d320435541503aa085ef2d2dca26b046380e1cd68f0f78e926d83	41a87735974819a75d84edbe034e9a7905b9137810d34ccf16e639d69f89617a	
SAMN14938837	MA_MGH_00262		MT520400.1	SRR11953927	IntroductionC	SNF A	FALSE		ee9fae0ddc567c119459b912de2c0dbaa00db87c3a243f3e4df01fd774f49a7e	1ffd7014f331a5a7dffe54927ad1719f1631c681a9cabf3063d3bace3fbbffa0	5c736860129ccd695c9c6a4702e34412a992f710d650dae110dab66fd9a847a1	
SAMN14938838	MA_MGH_00263		MT520407.1	SRR11953777	IntroductionA	SNF A	FALSE		752a3103b7815c131f63abfb41ed7435a90aa3262555562651e037364f4d8e97	f7bb37b3b029fc7fa3be9d262f01c5ee4f5e479f2b02d362bec4b68b565b44fa	04c6fa58e70738d7bea9158b8179116c0f29bd5c730c23c309ec7f2043ac9685	
SAMN14938839	MA_MGH_00264		MT520235.1	SRR11954025	IntroductionA	SNF A	FALSE		4abae1d08e03d7cde7da3d9302568d9f46873d8496464fa3f54d701cd1d60b3a	8adae8701717019ace79c7440388e2f59da83f87ede1f8bc22f7c90e23b5c4f9	7502453c0201cd07f5abd9004213f4fe75b713d61dd50948a5f17418bbd6a658	
SAMN14938840	MA_MGH_00265		MT520369.1	SRR11953998	IntroductionA	SNF A	FALSE		794111d7aec53dad23155c3bf17716df1ad0956904b9e2aea431910b8b95119a	4df9b247e5c745c16e2e4db17ee2566ec3e69de79850701cca6ec6db805051a1	f40041a8957f5081804bbf1e7cc2370a4a612438f44475aa4b2d19888587b32a	
SAMN14938841	MA_MGH_00266		MT520216.1	SRR11954141	IntroductionA	SNF A	FALSE		1d08b0890d28993312c9094656dae8c89ccb32ccadbb546ac211040094c11d0d	821d9f9709ab1d12e9839f6f9a6b0e2d872bd32db2cb55fdda6df9dfb8661452	9b9058e60373eef1490ea897778608733ce49b8c5aca26824229cad40a8f7fa4	
SAMN14938842	MA_MGH_00267		MT520206.1	SRR11953746	IntroductionA	SNF A	FALSE		e91c8a41718f483ea93c687f7b2a3540c0babc280d0a8156465cb51b04b99b9b	f1c4d598a19a87177c1e85221808166e94c25795cde2f59facc1cd36dda21eb8	1e36d77eb6ac99c5bd0677cb3b7667aab9825ae3984e1ad137ca41ba91a73af5	
SAMN14938844	MA_MGH_00269		MT520239.1	SRR11954176	IntroductionA	SNF A	FALSE		814a34169bf93d93813889e35c494c9301c608258c58f7c9c10fb15857019df3	e1787af3bea6c6931dd6aceb2b4980790d6b273359d1b7fdd066e4e4445ddfb3	bf5151e1ce15294f6accda0526d984beb262b0d533e3de779db77617193efa57	
SAMN14938845	MA_MGH_00270		MT520318.1	SRR11953688	IntroductionA	SNF A	FALSE		abf8785304e73ccb55b05ee5d40f0345ec7bec67ae5879873d63826eed11b4f2	9476285458f005cb3da356a196ed9aca5b84df361dc82f18ec56d680309c44b8	b7f0956ef8b4ccb910bf0511b7d784560794c391e81fd2d921668b7dccf57cbe	
SAMN14938846	MA_MGH_00271		MT520539.1	SRR11953764	IntroductionA	SNF A	FALSE		38ad5878e7220194b6fcfa2cc7cda6f24d387d864cc62005f6ef527aaea52889	8bdbc6b637554d8cab1219953387c1c45fafec1b3bef5e53d9c7993bc1d70ce0	73da707ce780a50a7302ba6c4362d0a66ab0268865466299650768b9aa5ad367	
SAMN14938847	MA_MGH_00272		MT520538.1	SRR11953866	IntroductionA	SNF A	FALSE		ad8ee0e7de8a6770cb5ceaff02253a994eff6ba94741d00835e4e4d4a75edfbe	e935475f6ca803cf563af7cc4d3b2a606b830e2e85d0f7aa7e293f39676374cb	01c479ec0b4d5e1763df7c66adc8acd5a54318d2d4ee590912634aa8ee12913a	
SAMN14938848	MA_MGH_00273		MT520324.1	SRR11953691	IntroductionA	SNF A	FALSE		30ddd8af0738dedd6edc7bf05357c51b76ef1f09cf7b1ca2c9e0c809fddac918	24fd997ce6ece0f2c3b5aacc7ba7ad6fdca5c612486ae877772d19fca77252d8	7aa71a6963db327d90af23a81d945b69d0330180174bec07f78678b863a45962	
SAMN14938849	MA_MGH_00274		MT520219.1	SRR11954299	IntroductionA	SNF A	FALSE		bc25d80db8cc7ebcdbb07c1481845334ab56a2cac41fcfa2b90a3fc862469122	2f40fd09ddf5f3e19965e2adb7de0811a1230aa1a746d89a7e6d8ab7ad73073f	29338aa11fd5b3124558cc089fe5ea90c900065bb4a1ab1bcb5b1bd6402de69f	
SAMN14938851	MA_MGH_00276		MT520247.1	SRR11953980	IntroductionA	SNF A	FALSE		dd8fbe1c812d9424d49bff0500f839d2763ab1b1fe973bc527f56f7144287195	276d9828d469be707904a974612429f8d359960f5140d6ad8beba48fa953be63	d27f642d18386cff81967973d5b90758209bb498a123866bd0d12aeb6f6ac7aa	
SAMN14938852	MA_MGH_00277		MT520173.1	SRR11953755	IntroductionA	SNF A	FALSE		2ae318ab5e7b11589dcb1f90ba02ec8ba8b6788136cff17163f40c77bc89e0f2	95a9befdf43a7f05b9308286c1842b905822c246061d531c541d5ae07f7b3e6a	c2aef2b34b1e1c984f569df26e45b243a6f43a5c94bbff1b3937a47f772e85e3	
