Organism	SARS-CoV-2											
Outbreak	SNF A											
pmid	33303686											
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sarscov2-SNF-A.dnd
source	Danny Park											
dataType	Outbreak											
												
biosample_acc	strain	genBankAssembly	nucleotide	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumnucleotide	sha256sumRead1	sha256sumRead2	
SAMN14938853	MA_MGH_00278		MT520175.1	SRR11954201	IntroductionA	SNF A	FALSE		41879c4d08c88daedd68a55f3711c0c50c04babe6827f2cf966cffb53deb6586	12b3d546281c462c1b296ee41fe1f4131d4c39c2f1f77b1940514b55f44ec50e	2158573c85e6019b434ab8a03f9624e5091c80ba6f34f1261554db94b0296351	
SAMN14938855	MA_MGH_00280		MT520285.1	SRR11953760	IntroductionA	SNF A	FALSE		9ea0487f1916b5fff4668da7de2d09387cf6522d431976340be5b30c0f63a1e4	dc1b52fb8b03a989ed1ce95eba8e152311e721f7a93646b3ff643e7651064517	e6ad915ad57fa0337ab9ffbbff1b8e492b936d748c90f820e049a5abbcda0d9d	
SAMN14938856	MA_MGH_00281		MT520270.1	SRR11954301	IntroductionA	SNF A	FALSE		fd74c6fec73158b74fd7902ca41db0741e2b6c20905a30d9e5fadf089315762b	987e7c9debce0f5c10383eae490cf62f53ab6a5ba14fa38d0e94ebeaef61d484	d0d1ff3d4beb57d1323059d803683e6e6334408d84153505f92a330db0c717c7	
SAMN14938857	MA_MGH_00282		MT520483.1	SRR11953844	IntroductionA	SNF A	FALSE		fcecbb8e43f0cc946249370dd7f86b75de40d8ad1d0ab95bcf17460fc355f346	140cd457580270a6dcd672cf018a2932b200e2bf3923cc58155ce931c7f37071	d5cacaf51e812353d0a6f007932d7cf198d2f764a3282b5204a238c2266a45ea	
SAMN14938858	MA_MGH_00283		MT520256.1	SRR11954002	IntroductionA	SNF A	FALSE		1e95f52deccfe16393ff3e564b94dc7092024e9c753c03397afb029eba950888	7640786b41e0f360c94ac35cbb423f6e54e688dcb47a7e825b620b225430ddfe	4b5b09241d7e358658ac162533ec43cdd32dbc9916dd4f2026a081904e7e6b25	
SAMN14938860	MA_MGH_00285		MT520244.1	SRR11953965	IntroductionA	SNF A	FALSE		9f563edfd8f4d0717b908b6f87808e059785473e2b7fb4b98aee3b6011355857	811dc2c60d026b2c960fc4e39962419a3aa1dbd6286ab8c50432023a63eb9fbe	de8e5e03c1e549b74db680371749bf111b6b6cbd50a7e9f45f31e5136521a2e1	
SAMN14938861	MA_MGH_00286		MT520268.1	SRR11954156	IntroductionA	SNF A	FALSE		9bfb3a2ed4d5b1938893420acad1e4ea0def1baf27b2345383784d8481b353ef	7e6cee9116a729e6f8442301cb70ace85ae0bac7ac6041ff04c148306aa16136	efcdf20748e77398de71b2a935fa8be5a9a3cf66602cd9f983035fce5f97b073	
SAMN14938862	MA_MGH_00287		MT520309.1	SRR11954198	IntroductionA	SNF A	FALSE		0b15b2bf80d6ddb2309f146de637b68871e97fab4131458d0abfaca5c8969e95	9a9ba5a011a83a231958571f45e1e7990fb9a1987906462590ea85e6172f149e	af50012d1984fe36e27413cfbf0b2080bb4da2a68ddd762ed1b3652373de7644	
SAMN14938863	MA_MGH_00288		MT520230.1	SRR11953846	IntroductionA	SNF A	FALSE		e3faf764583d255f3ed3750c1398f06701384b3afc8808b2eb0dd37f03fcdbe2	cb8e80cb516529a71efee9fde64eb0705b8df8e199daa0eb2d96c631ab5ad75a	2040fdde8c6f0e45f05f6e4e5c95e781c793860f0793848dc43aa6d43bc22dd1	
SAMN14938864	MA_MGH_00289		MT520208.1	SRR11953966	IntroductionA	SNF A	FALSE		2965c39be19f3ab3dc122f0b48a138ce20266f5c432a86634dbc30df7e41619e	c5a0119568a8a5c2de22d4e2dc871f81ccad4cf81ab1a9d62448bc91b4f502ad	9f23961bd41f5eb59b059caba883cf3fe6f3b32973f303d0478ea35498040bc8	
SAMN14938865	MA_MGH_00290		MT520271.1	SRR11953983	IntroductionA	SNF A	FALSE		1cad7fc7d3e0f751f5ec3657e34c0aa89ebe0c643b522d2883b3ae91a52b6783	03b828a23d1152a14bb3b68379168d03e1ede9cb25a227b3a37d18008c08d5db	7735501afb29f838d19b64c220560dd2fac3cf7302498da541aaa2cbfc7e6ea8	
SAMN14938866	MA_MGH_00291		MT520246.1	SRR11954160	IntroductionA	SNF A	FALSE		7f86b7fb9169ebffedf6cc28b8cc1247168a3795193fd0220b424b5119b4ce41	f1ce7a498f81fbf7581b9920caf7bd69acd2d97c9d8b485de2ec91d38938dc62	ff76ce13785b0b59f7a4aef6dff12f5911efb2170c69c9db62abd2d4cb73922e	
SAMN14938869	MA_MGH_00294		MT520349.1	SRR11953723	IntroductionA	SNF A	FALSE		4c14983b55bdc23970cc4f4dfe833c7cb52c16569a97d58e8dece2c9428d464c	39203677a17f5cbff2489a94bb9b69da444ad118d6b78946e034803ef5812d39	ee53fbe9fdce2af914030a7b06676ff71463fe85d8a56ec612815e2c8925037e	
SAMN14938870	MA_MGH_00295		MT520536.1	SRR11954120	IntroductionA	SNF A	FALSE		64e095f5d0c4a8f922dd41f8a94657718bf0fb9e3cf143a41fd68be1250aa932	43a5a1fd09c121e1b4efb2a1e25174531779b19c22a14df314b09331032b92f4	7dddff6d38435921238d31dfcd485baafa45542e99e9bbc682f9407c63433f96	
SAMN14938871	MA_MGH_00296		MT520417.1	SRR11953840	IntroductionA	SNF A	FALSE		c7b7dcbe8871d52c6422b731b0b4d03a1ff97d120c614f6678b2f3df72fc5016	b80bfad5533cb3baf4aa0609a42e1dca01a83031d5c0a4cefc24a66386857a54	6aba025ba50a63adfcece0e976ab67ee0c2d20b27d41473aba14b0152cdaf461	
SAMN14938872	MA_MGH_00297		MT520232.1	SRR11954050	IntroductionA	SNF A	FALSE		ef5dfb31207861ef9b05bc185a3e8f17f442fc9259acb3c0d6f858dc0e4c3e21	3f3a08dbe4391bfb0e0678bf0f0cb54c14988481db5e2af0b575e30082fe7a74	ecd3fed2ef403ab75908907987a7ec5cc52eacdc8c0879465c0f0403e525d1c5	
SAMN14938873	MA_MGH_00298		MT520340.1	SRR11954189	IntroductionC	SNF A	FALSE		19e73ec0014f3bc9820f0750ba737a22606bdfa4a600b5d27737235f8a924be8	59d68adb7870decc184125c4d9f6ff3b19275392da6e663cd090aa810194d3e2	e958b31b10d18d44f2592763ce15fa8d5ba04cd5e0ad4cc34b4f4b790d8c188d	
SAMN14938874	MA_MGH_00299		MT520330.1	SRR11954210	IntroductionA	SNF A	FALSE		df1436e871e98a0bc734bda76c7145cbac869bc17622f12f8ec35ab38c0e4fb7	bce4464e1d57581557cccb8a4d2781029802efe1dd0815c02128f4caa0676325	d73b6aab082e6f0b9582fbc65dcd4812b89b382775c7e9f74eac6c01534e1952	
SAMN14938877	MA_MGH_00302		MT520226.1	SRR11953816	IntroductionA	SNF A	FALSE		c1d389de5740881c4b0f7fcbab7af015d9fd4741d035c3e09706d34a51ea0555	c3122963e446e36efb4409f4335db6758971327d37434de765ec36bcc3306a48	f5a6a2a82227dcd4645abb7ff865111c0ce96e379260e486e091eb36b266f206	
SAMN14938878	MA_MGH_00303		MT520454.1	SRR11954234	IntroductionA	SNF A	FALSE		f12aa58e2c7f4c1c360a284bb88cecb5e8af4c15718d33c5f1b22d85486299cc	233fed648689917193fd84c1426cf1391a6db13a4789a28792bef841fa322e43	8edc15d2835fd23c19ae1e20e4790bdbc03139e6894a896fb086bb0eba860b8d	
SAMN14938879	MA_MGH_00304		MT520505.1	SRR11953686	IntroductionA	SNF A	FALSE		c942e13e4a933423e4f68d7d369cda2f09e4b662f058be79804eda686c2d2089	54b555e40558470671e2de3b6d78ee1025a7fed5b4e909c01ffc142046999d51	e0bf04f703c42651cd45925de1206a6e2489d1376e14b6f7cd3f011e958dd090	
SAMN14938880	MA_MGH_00305		MT520507.1	SRR11954295	IntroductionA	SNF A	FALSE		1e272bbf7aece8cbb2a285e4d736ca55a49ce39dcc1aa91ed80222efa738276a	9e75b70872e2ac977fb98f8063dbc7d14f3d622aa995e71876942e32b1e80a86	87a2cbd0409e3369e457a965b87afa9429e83a5188f195869c577aa9c10a5f9c	
SAMN14938889	MA_MGH_00318		MT520426.1	SRR11953923	IntroductionA	SNF A	FALSE		93da180c5826bd4f50ac1d33dec5a5795a09c315e5d814315965ac02b84f1210	6439f439902b1e1b4afab4d0b4e0a06576ef31ff46ce1f602321ef017f96f4a2	7b077068b4ad818dabc6fce7b0b3a7f7e36986986b3ac86bbccbf5b503636975	
SAMN14938920	MA_MGH_00445		MT520273.1	SRR11954028	IntroductionA	SNF A	FALSE		6df5c770f1501ba983df4556c26f2c4444f43807c0cc9753df911c1dfbecf21f	029931df77823a5f77e4e0c2192a45a356e8c8457d6db58b96188d7b78e6c582	16413b5732bf7e208abd237bd05b201aa3d3b4eb375d714f765a826bc940cdd9	
SAMN14938934	MA_MGH_00459		MT520529.1	SRR11954083	IntroductionA	SNF A	FALSE		3e2660755678f9ca3f11c13b10fcc19f8a37c9516977b16820034cc148383385	bd2b16108ddb5773727078a0a30df0bd4397a03ac15e74ab44f649435581dbb0	04080ac3f8728f244c5486f85d001e01beeda96f67b3d5b9db5eb2426bcbcaae	
SAMN14938935	MA_MGH_00460		MT520295.1	SRR11954052	IntroductionA	SNF A	FALSE		8cff59fce035c0b95b624fc99461f8a116d97b136e42bd05c8943e6ea35362a4	cc550e69b798ee3cec3141c98d59895f75a028c4471491815ca11b2b4105b6fe	faf297a3ee1a4706dde88d2a0737cebc9590ceaaed83ff3cbd6c8db9e0ca44ac	
SAMN14938942	MA_MGH_00467		MT520234.1	SRR11954251	IntroductionA	SNF A	FALSE		8ee1a35b498a033e03c50c5487cefbc8d09660686262f58441ac6573447fa306	c752029a0a15f5266de2b33b8329e6c5e0efc3c5f673589de49f43b61080d004	0511e0f4420263b96edbdd8035e44d862ab3ed9fd8857e3cbf998fb6957ec5ce	
SAMN14938943	MA_MGH_00468		MT520460.1	SRR11954293	IntroductionA	SNF A	FALSE		c484058934c40598b56dbbdc0eeb2b0b51f65c69a90aa21df195b4fea5bebdcf	1138479aacc0fcf0c9ef6e02318d37c0a601df367c20e38493dddc091ea851dd	257478e909cd6aab81bc96f3daf71f9edc6b5502ba8f11e26131ab5f3250bdcb	
SAMN14938950	MA_MGH_00475		MT520300.1	SRR11953767	IntroductionA	SNF A	FALSE		c3f9c17f1c40516dbc012e0818203b4e61c4b889847973780c76a71f994bfac9	99c2248cd82c5014d6a2ee7ddf2cbc2d93f257e27dda5e5cfde8921509e1d989	dfc15bce1c329c3846623af130ac5aba0a3537eb9d9049adbd5d54565ae09654	
SAMN14938951	MA_MGH_00476		MT520495.1	SRR11954287	IntroductionA	SNF A	FALSE		877ee164d5209c0684c5f86ed975025837d781b8a962df1672a9eaafc15f0e94	0835e7a3a08bce53b7f855fdbbdfaa02ca5a5b242f13b232f0ccc5291775a9bc	39dfc1bb8ab8f5f3475b3bf664ac5f1f112f247d55215a645865ccfc0ec1422b	
